Input 				 MMPG with Bribe 	 MMPG without Bribe
randomgame-multi-22-6-3.pg 	 FinalAnswer : 0.833333 	 FinalAnswer : 0.571429
randomgame-multi-22-6-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-6-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-7-1.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6
randomgame-multi-22-7-2.pg 	 FinalAnswer : 0 	 FinalAnswer : 0
randomgame-multi-22-7-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-7-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-7-5.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6
randomgame-multi-22-8-1.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75
randomgame-multi-22-8-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-8-3.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-22-8-4.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6
randomgame-multi-22-8-5.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0.333333
randomgame-multi-22-9-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-9-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-9-3.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-22-9-4.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-22-9-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-10-1.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
randomgame-multi-22-10-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-10-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-22-10-4.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-22-10-5.pg 	 FinalAnswer : 0.688312 	 FinalAnswer : 0.688312
randomgame-multi-23-3-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-3-2.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75
randomgame-multi-23-3-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-3-4.pg 	 FinalAnswer : 0.333333 	 FinalAnswer : 0
randomgame-multi-23-3-5.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-23-4-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-4-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-4-3.pg 	 FinalAnswer : 0 	 FinalAnswer : 0
randomgame-multi-23-4-4.pg 	 FinalAnswer : 0.625 	 FinalAnswer : 0.625
randomgame-multi-23-4-5.pg 	 FinalAnswer : 0.55 	 FinalAnswer : 0.55
randomgame-multi-23-5-1.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-23-5-2.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-5-3.pg 	 FinalAnswer : 0.708333 	 FinalAnswer : 0.666667
randomgame-multi-23-5-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-5-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-6-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-6-2.pg 	 FinalAnswer : 0 	 FinalAnswer : 0
randomgame-multi-23-6-3.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
